year_quarter,actual_cash_demand,legal_cash_demand,excess_cash_ratio,shadow_economy_method1,shadow_economy_method2,tax_burden,year
2010Q2,0.3117900164822503,0.30973925306245076,0.0020507634197995395,0.6577386418388692,1.3621900864300307,25.64621233011491,2010
2010Q3,0.3153148631187444,0.30406688852568403,0.011247974593060373,3.567219915296063,0.9148575536669106,23.71194723443954,2010
2010Q4,0.3026794459995639,0.30522532119692863,-0.002545875197364711,-0.841112679110817,1.279393625027347,25.28820057463758,2010
2011Q1,0.2944145354944933,0.29783327669988796,-0.0034187412053946487,-1.16119987066963,1.9637928149038122,28.24754148442908,2011
2011Q2,0.2918585250371276,0.2936027849387784,-0.0017442599016507798,-0.5976388393756498,1.4431137340891582,25.99612604221389,2011
2011Q3,0.2934555547797806,0.29157350827232265,0.0018820465074579351,0.6413395407935929,0.9989587898206624,24.07560083367708,2011
2011Q4,0.2831992872779573,0.2920120473997945,-0.008812760121837238,-3.1118581570396397,1.3155366019971173,25.444482744357273,2011
2012Q1,0.2757468794249078,0.28728040108804676,-0.01153352166313898,-4.1826481181557025,2.041834762827944,28.584994731872857,2012
2012Q2,0.2803294292648396,0.2833127448351112,-0.002983315570271594,-1.0642177591183708,1.6232326447421785,26.77495989942342,2012
2012Q3,0.2778958158141544,0.285990534930059,-0.008094719115904592,-2.912861099469744,0.6538389883191179,22.58330341066728,2012
2012Q4,0.2628970882096914,0.28479328817032085,-0.02189619996062947,-8.328810375855008,1.3428774504727858,25.56270452573761,2012
2013Q1,0.2564359031484375,0.2772234604508392,-0.02078755730240167,-8.106336533682972,2.103925817431019,28.85347634426656,2013
2013Q2,0.2611065158558182,0.2743662318327864,-0.013259715976968234,-5.078278469423639,1.0727292567436972,24.39458420468189,2013
2013Q3,0.2636758866131894,0.2774165016597422,-0.013740615046552773,-5.211176199327682,0.5548677062747573,22.15535175879397,2013
2013Q4,0.2597175775359642,0.2755887944151426,-0.015871216879178418,-6.110952146464042,0.6147156175007128,22.414134023116212,2013
2014Q1,0.2721566520364549,0.2755989512214226,-0.00344229918496769,-1.264822725886046,1.5260648782165873,26.35480664552469,2014
2014Q2,0.302051047094689,0.28362037840604354,0.018430668688645457,6.1018390321513065,0.9015489515436136,23.65440086194497,2014
2014Q3,0.2864944025236552,0.3004950294606713,-0.014000626937016092,-4.8868762578564136,0.0,19.756104759396653,2014
2014Q4,0.2914302382079527,0.2945548259277754,-0.003124587719822658,-1.0721563208527043,0.9403399250683379,23.822132964174777,2014
2015Q1,0.2500603709374163,0.295610819645263,-0.04555044870784669,-18.21578066811986,2.358856648201147,29.95579681428545,2015
2015Q2,0.2941584186766745,0.2758543159049507,0.01830410277172384,6.222532353168131,1.4612161563293238,26.07440088457791,2015
2015Q3,0.2914507186939482,0.2977657308033286,-0.006315012109380402,-2.166751256500343,0.636420304272781,22.50798505106729,2015
2015Q4,0.2814746855303957,0.29626495557403465,-0.014790270043638976,-5.254564905461743,1.25552253528703,25.184982024009877,2015
2016Q1,0.2652454729034128,0.29054257046571713,-0.025297097562304305,-9.537240083835872,2.894876083038776,32.273543920684915,2016
2016Q2,0.2759280889623777,0.28200949868072883,-0.006081409718351138,-2.2039835600718156,2.0778824279772925,28.740864773446383,2016
2016Q3,0.2762400341712033,0.2870977240753355,-0.010857689904132217,-3.9305272809961447,0.9296681668271813,23.775988300052425,2016
2016Q4,0.2770542478557845,0.28683039854218534,-0.009776150686400864,-3.5286052323910444,1.516737561486413,26.314475344163608,2016
2017Q1,0.2752028242214578,0.2870398397994491,-0.011837015577991272,-4.301196984979317,3.221286616816868,33.684942502513664,2017
2017Q2,0.2764976356136029,0.2859071951079566,-0.009409559494353681,-3.4031247585434166,1.955155785703561,28.21019498514994,2017
2017Q3,0.2796653137155617,0.28618348541399596,-0.006518171698434272,-2.330704373679922,1.2234755512858835,25.046410920781152,2017
2017Q4,0.2745934199072708,0.2873355873884793,-0.012742167481208488,-4.640376118812851,1.4655406407801612,26.0930999478416,2017
2018Q1,0.2745458499627983,0.284299189678643,-0.009753339715844689,-3.552535839520536,2.736534527590964,31.588875309605307,2018
2018Q2,0.2783161489311887,0.2838723400815341,-0.005556191150345391,-1.9963595974156396,2.101248356895089,28.841899009553817,2018
