year_quarter,SE_A_classical_MIMIC,SE_B_hybrid,SE_C_standalone_CDA,SE_D_electricity_KIIS
2010Q2,41.61406191070351,2.6900777053700606,6.820265216722945,41.068121346799934
2010Q3,41.43867455440923,3.474380704263518,4.290214160605462,32.09868868012487
2010Q4,42.09892548469292,5.251946004605962,5.934209900749895,40.99217807685965
2011Q1,36.45171988736155,0.8181415840747897,8.856495149948831,40.0748145525024
2011Q2,37.6715422852549,3.6855997620571297,6.275903287609987,40.23610737836434
2011Q3,36.0726821658353,3.1206421631606416,4.304034292008543,35.84470449498453
2011Q4,38.0772877626031,5.499289016370488,5.997221268990445,40.14088577383297
2012Q1,35.447460411045,-1.0687762318662193,8.92171451965593,40.2818271536402
2012Q2,34.671656998145195,3.3780176796837256,6.8711052163218005,41.08378239000293
2012Q3,34.587648532132675,2.49028964635211,2.746598692094232,39.68911390923432
2012Q4,35.72065922477935,5.99751474397854,5.875840941828623,44.007568534629335
2013Q1,39.06379858789592,9.844410218336948,8.31821745132875,43.018929564225004
2013Q2,37.79189360511222,2.070742881905616,4.007593261268247,43.48145074772337
2013Q3,38.2374195223221,3.495285191705979,1.9585431274266245,41.91016811379714
2013Q4,38.32147268148184,4.518453883854471,2.317669671063566,40.46076905386927
2014Q1,53.23740567886634,7.420169318741959,5.16470555080095,37.329617894189894
2014Q2,49.173648557154,2.1495266189482907,2.707038152653248,39.99961050778984
2014Q3,50.594842777720174,3.001710975548252,0.0,35.962094560630945
2014Q4,49.143825356371565,5.829071482284033,2.524137182089577,44.92551863381304
2015Q1,44.34056795868036,5.492705766271859,5.87229505655055,46.65130608114507
2015Q2,44.78434980288364,2.762151250909102,3.6259409775262026,48.13239791326039
2015Q3,44.62011326609002,2.748974169797255,1.6155771898050155,41.92361674740347
2015Q4,46.81561264207656,6.131197797001438,3.1374833056737392,48.10438218975737
2016Q1,38.95854793286155,3.6827675237849022,7.042156172174555,41.830332181159626
2016Q2,36.87029963073723,2.2776161657430243,4.938841902765258,36.91536332313743
2016Q3,39.17698752042761,2.7496911527604286,2.2204008794354397,32.25955485277755
2016Q4,39.88379887613093,5.6930420212806645,3.5645354889352645,37.92656060135763
2017Q1,37.5690409894728,2.554041258886735,7.14966142960447,39.63691907480072
2017Q2,38.46111724085392,2.1645704581326406,4.2921385631519815,36.54578832645178
2017Q3,38.868631825859175,3.073163297224726,2.6811129809954837,35.24425045308078
2017Q4,37.957628053747925,4.6184376366768625,3.1489721560817063,41.669555436736694
2018Q1,40.69658628889002,3.2165471012001197,5.462032249108815,40.00411908953153
2018Q2,40.212275068590024,3.033669708234563,4.039601722442373,39.06784072391489
2018Q3,40.0422510465624,2.7849189089867012,2.545178432327017,34.345654495539
2018Q4,40.319010750551385,4.931424438870194,3.034694920742758,40.68587239994462
2019Q1,50.78672290400459,11.5159610724214,4.454640633412307,33.15255459389878
2019Q2,50.34838908743714,3.200867738685514,3.48698290607107,35.311227888991056
2019Q3,49.85237854762223,2.761731068908575,1.9671634546802528,30.84765257966901
2019Q4,50.647571877544785,5.584094321750498,2.8123850059214734,34.8612591877963
2020Q1,38.68159948850613,4.826273519231693,3.7236954185340263,32.2014232698235
2020Q2,37.229622953466425,2.6536102254578444,2.1806717664997426,36.74091444768378
2020Q3,35.86950434528741,3.101084539950693,1.4723517233486954,32.178786234270675
2020Q4,38.29747676940903,6.223575099317491,2.18167840299907,35.89189381247466
2021Q1,40.47707112498236,5.322157965837307,2.669698862390147,25.621687942882275
2021Q2,41.156669189834965,3.910981134465617,2.209515148227233,28.856412070824057
2021Q3,40.511355024073715,2.771026657983116,1.3868438893724924,23.29208736235714
2021Q4,41.72279207522101,4.708059289999339,1.353076957201785,30.483766528301103
