year_quarter,tax_burden,actual_cash_demand,legal_cash_demand,excess_cash_ratio,velocity,shadow_method1,shadow_method2,year
2010Q2,25.64621233011491,0.3117900164822503,0.309682103496136,0.002107912986114291,5.475517689481129,1.154191484335579,6.820265216722945,2010
2010Q3,23.71194723443954,0.3153148631187444,0.3044832329004036,0.010831630218340826,5.0885688012616574,5.511749559585213,4.290214160605462,2010
2010Q4,25.28820057463758,0.3026794459995639,0.30555359420653727,-0.002874148206973348,5.065192259311017,0.0,5.934209900749895,2010
2011Q1,28.24754148442908,0.2944145354944933,0.29789838175997835,-0.0034838462654850355,4.9833442470740765,0.0,8.856495149948831,2011
2011Q2,25.99612604221389,0.2918585250371276,0.29369438293334593,-0.001835857896218318,4.762622822645292,0.0,6.275903287609987,2011
2011Q3,24.07560083367708,0.2934555547797806,0.2914364773584907,0.002019077421289872,4.682084933805781,0.9453491974408738,4.304034292008543,2011
2011Q4,25.444482744357273,0.2831992872779573,0.29174542792621594,-0.008546140648258649,4.981465327051637,0.0,5.997221268990445,2011
2012Q1,28.584994731872857,0.2757468794249078,0.28722531753062513,-0.011478438105717359,4.834590079153353,0.0,8.92171451965593,2012
2012Q2,26.77495989942342,0.2803294292648396,0.28331148304658266,-0.0029820537817430437,4.650145015227208,0.0,6.8711052163218005,2012
2012Q3,22.58330341066728,0.2778958158141544,0.28608369283258356,-0.008187877018429157,4.537275306404131,0.0,2.746598692094232,2012
2012Q4,25.56270452573761,0.2628970882096914,0.28491015447529033,-0.022013066265598957,4.783543979456414,0.0,5.875840941828623,2012
2013Q1,28.85347634426656,0.2564359031484375,0.2774236996792061,-0.0209877965307686,4.379153274522151,0.0,8.31821745132875,2013
2013Q2,24.39458420468189,0.2611065158558182,0.2747773960130669,-0.01367088015724871,4.065047310217538,0.0,4.007593261268247,2013
2013Q3,22.15535175879397,0.2636758866131894,0.27827941398078276,-0.01460352736759335,3.8058553992746216,0.0,1.9585431274266243,2013
2013Q4,22.414134023116212,0.2597175775359642,0.27550558228400684,-0.01578800474804265,4.069555892313105,0.0,2.317669671063566,2013
2014Q1,26.35480664552469,0.2721566520364549,0.27619730950796073,-0.004040657471505837,3.7116390468866935,0.0,5.16470555080095,2014
2014Q2,23.65440086194497,0.302051047094689,0.2838323281761277,0.018218718918561305,3.2574191501270175,5.934600389610298,2.707038152653248,2014
2014Q3,19.756104759396653,0.2864944025236552,0.30036353430585583,-0.013869131782200617,2.991508391870851,0.0,0.0,2014
2014Q4,23.822132964174777,0.2914302382079527,0.2948558352900866,-0.0034255970821338577,2.9140205898798643,0.0,2.524137182089577,2014
2015Q1,29.95579681428545,0.2500603709374163,0.29424295507995124,-0.04418258414253495,2.769301631166939,0.0,5.87229505655055,2015
