year_quarter,CDA,eta_z,SE_hybrid
2010Q2,6.820265216722945,-0.22097059447454323,2.6900777053700606
2010Q3,4.290214160605462,-0.0890113673108909,3.4743807042635186
2010Q4,5.934209900749895,0.21006455563859983,5.251946004605962
2011Q1,8.856495149948831,-0.5359244378416583,0.8181415840747897
2011Q2,6.275903287609987,-0.05347369415650594,3.6855997620571292
2011Q3,4.304034292008543,-0.1485279885246197,3.1206421631606416
2011Q4,5.997221268990445,0.25168009545271036,5.499289016370488
2012Q1,8.92171451965593,-0.8533989560625515,-1.0687762318662193
2012Q2,6.8711052163218005,-0.10522447661767928,3.3780176796837256
2012Q3,2.746598692094232,-0.2545849984762247,2.4902896463521094
2012Q4,5.875840941828623,0.3355067314096868,5.99751474397854
2013Q1,8.31821745132875,0.9827481094126868,9.844410218336947
2013Q2,4.007593261268247,-0.3251738740427846,2.070742881905616
2013Q3,1.9585431274266245,-0.08549418069927367,3.495285191705979
2013Q4,2.317669671063566,0.08665427476302782,4.518453883854471
2014Q1,5.16470555080095,0.5748688127372852,7.420169318741959
2014Q2,2.707038152653248,-0.31191848541379386,2.1495266189482907
2014Q3,0.0,-0.16853819838627826,3.001710975548252
2014Q4,2.524137182089577,0.30716609945304246,5.829071482284033
2015Q1,5.87229505655055,0.25057246154532287,5.492705766271859
2015Q2,3.6259409775262026,-0.2088441976844064,2.7621512509091026
2015Q3,1.6155771898050155,-0.2110612457414016,2.748974169797255
2015Q4,3.1374833056737392,0.3579989472837404,6.131197797001438
2016Q1,7.042156172174555,-0.05395021913992898,3.6827675237849027
2016Q2,4.938841902765258,-0.2903673787284659,2.2776161657430243
2016Q3,2.2204008794354397,-0.21094061313150034,2.7496911527604286
2016Q4,3.5645354889352645,0.2842790996955277,5.6930420212806645
2017Q1,7.14966142960447,-0.24385876954126606,2.554041258886735
2017Q2,4.2921385631519815,-0.30938735472177564,2.1645704581326406
2017Q3,2.6811129809954837,-0.15651632270713534,3.073163297224726
2017Q4,3.1489721560817063,0.10347657273967574,4.6184376366768625
2018Q1,5.462032249108815,-0.13239195242285462,3.2165471012001197
2018Q2,4.039601722442373,-0.16316113152262313,3.033669708234563
2018Q3,2.545178432327017,-0.20501353202523517,2.7849189089867012
2018Q4,3.034694920742758,0.1561367010167902,4.931424438870194
2019Q1,4.454640633412307,1.2639870683111356,11.515961072421401
2019Q2,3.48698290607107,-0.1350300101158192,3.200867738685514
2019Q3,1.9671634546802528,-0.20891489343864408,2.7617310689085754
2019Q4,2.8123850059214734,0.26594861485543136,5.584094321750498
2020Q1,3.7236954185340263,0.13844502559208746,4.826273519231693
2020Q2,2.1806717664997426,-0.22710625948234178,2.6536102254578444
2020Q3,1.4723517233486954,-0.15181856480391978,3.101084539950693
2020Q4,2.18167840299907,0.3735414575613855,6.223575099317491
2021Q1,2.669698862390147,0.2218777402812753,5.322157965837307
2021Q2,2.209515148227233,-0.015553207097208803,3.910981134465617
2021Q3,1.3868438893724924,-0.20735090764229006,2.771026657983116
2021Q4,1.353076957201785,0.11855544420420955,4.708059289999339
