year_quarter,electricity,log_electricity,dlog_electricity
2010Q1,32330175.501054805,17.29151157811419,
2010Q2,33478376.265038893,17.3264103037547,0.034898725640509554
2010Q3,33756246.05502131,17.334676026456716,0.008265722702017086
2010Q4,34482582.17888498,17.355964890134512,0.021288863677796144
2011Q1,34804400.54747365,17.365254389263868,0.009289499129355505
2011Q2,34778704.782390915,17.36451582589769,-0.0007385633661769475
2011Q3,35370743.08312724,17.381395569813886,0.016879743916195622
2011Q4,34873641.58700825,17.36724184643704,-0.014153723376846727
2012Q1,33854928.978315726,17.33759515908003,-0.02964668735700826
2012Q2,34990554.99445781,17.37058872573445,0.03299356665441877
2012Q3,34935246.7926439,17.36900681428162,-0.0015819114528312639
2012Q4,33906839.23458256,17.339127299335242,-0.029879514946376418
2013Q1,33794858.47604042,17.335819232788943,-0.0033080665462996706
2013Q2,34362427.75504737,17.352474309017555,0.016655076228612842
2013Q3,34904161.93038435,17.368116633082188,0.015642324064632618
2013Q4,34498191.83852785,17.356417470150657,-0.011699162931531504
2014Q1,33583810.11266365,17.32955466692532,-0.026862803225338183
2014Q2,32890642.171430673,17.3086987427977,-0.02085592412761983
2014Q3,30397652.482063234,17.229875942409993,-0.07882280038770517
2014Q4,31534725.233842436,17.26659988498794,0.036723942577946644
2015Q1,31137946.80252652,17.25393778778809,-0.012662097199850564
2015Q2,30712268.647530492,17.24017276293926,-0.01376502484882991
2015Q3,29398559.371681485,17.19645623014511,-0.04371653279415
2015Q4,27761015.178261533,17.13914326275632,-0.057312967388789104
2016Q1,25339506.40041472,17.04787525359946,-0.09126800915685962
2016Q2,21942422.448968586,16.903932419157947,-0.14394283444151412
2016Q3,21040016.40775065,16.861936725669537,-0.04199569348840981
2016Q4,22174483.742866047,16.914452804845666,0.05251607917612944
2017Q1,22062949.716679238,16.909410276208877,-0.005042528636789001
2017Q2,21967965.160256263,16.905095821057106,-0.0043144551517713126
2017Q3,22305661.780536976,16.920351095709254,0.015255274652147932
2017Q4,23231801.342527512,16.96103264554253,0.040681549833276875
2018Q1,23436961.653655075,16.969824891987052,0.008792246444521368
2018Q2,22516955.35342217,16.929779154645594,-0.04004573734145822
2018Q3,22069295.790167503,16.9096978697115,-0.020081284934093446
2018Q4,22797159.40275526,16.942146498564536,0.0324486288530359
2019Q1,22731867.41594408,16.93927834889684,-0.0028681496676981055
2019Q2,22729400.63369185,16.939169826527774,-0.00010852236906444546
2019Q3,22058447.500003107,16.909206193066648,-0.029963633461125738
2019Q4,21275479.650360968,16.87306577742743,-0.03614041563921688
2020Q1,21527387.77900467,16.88483653262537,0.01177075519794002
2020Q2,19684642.203817155,16.795349306112346,-0.08948722651302532
2020Q3,21452385.684424296,16.881346417872816,0.08599711176047009
2020Q4,21224135.632753868,16.870649565316132,-0.010696852556684178
2021Q1,20034683.98518697,16.812975528790325,-0.05767403652580683
2021Q2,20299407.173355896,16.82610224030263,0.0131267115123066
2021Q3,20916032.410074532,16.85602652382398,0.029924283521349793
2021Q4,21965684.7313826,16.90499200865448,0.04896548483050012
2022Q1,16457035.43397728,16.61626362970015,-0.2887283789543318
2022Q2,10676578.448991813,16.183562970222322,-0.43270065947782754
2022Q3,11948802.524035655,16.29614162412705,0.11257865390472688
2022Q4,11217745.192995258,16.23300747467186,-0.06313414945518758
2023Q1,12094458.662986241,16.308257943933793,0.07525046926193113
2023Q2,12624248.565169802,16.351130011763825,0.04287206783003228
2023Q3,12732682.999541197,16.359682710269947,0.00855269850612217
2023Q4,12845056.372302765,16.36846957717377,0.008786866903822244
2024Q1,13175801.51778588,16.393892486805832,0.02542290963206284
2024Q2,13207886.771593776,16.396324691831378,0.0024322050255456418
2024Q3,12540322.692026772,16.34445982585445,-0.05186486597692763
2024Q4,13266105.118593575,16.400722852946508,0.05626302709205788
