year_quarter,usd_avg_q,eur_avg_q,interest_rate_avg_q,cpi_base_2010
2010Q1,7.987705555555555,11.072077855555555,10.25,94.76666666666667
2010Q2,7.922430769230768,10.101016351648353,10.058333333333334,95.16666666666667
2010Q3,7.900627173913044,10.175620510869566,8.147833333333333,96.16666666666667
2010Q4,7.931368478260868,10.785121010869567,7.75,99.36666666666667
2011Q1,7.9449522222222235,10.849499677777777,7.75,102.06666666666666
2011Q2,7.9709725274725285,11.476875923076923,7.75,105.36666666666667
2011Q3,7.97170652173913,11.277828434782608,7.75,104.3
2011Q4,7.9827695652173905,10.764995043478262,7.75,104.39999999999999
2012Q1,7.988154945054946,10.457435131868133,7.7258,105.03333333333335
2012Q2,7.990007692307692,10.262790648351647,7.5,105.0
2012Q3,7.9929565217391305,9.98611320652174,7.5,104.26666666666667
2012Q4,7.992999999999999,10.372481402173912,7.5,104.2
2013Q1,7.992999999999999,10.548974966666668,7.5,104.53333333333335
2013Q2,7.993,10.435608142857143,7.383333333333333,104.56666666666666
2013Q3,7.992999999999999,10.583157782608696,6.731166666666667,103.96666666666665
2013Q4,7.992999999999999,10.875501782608696,6.5,104.43333333333334
2014Q1,8.862673333333333,12.147707166666667,6.5,106.26666666666667
2014Q2,11.696175450549449,16.042706483516483,9.033333333333333,114.8
2014Q3,12.577152673913044,16.67308975,11.983866666666666,119.23333333333333
2014Q4,14.433596282608697,18.025858836956523,13.299999999999999,127.60000000000001
2015Q1,21.11566568888889,23.78934436666667,20.500600000000002,144.9
2015Q2,21.611451373626373,23.870875406593406,30.0,182.46666666666667
2015Q3,21.721891652173912,24.132549565217392,28.537633333333332,182.79999999999998
2015Q4,22.84912233695652,25.01613379347826,22.0,185.6
2016Q1,25.65373637362637,28.276404373626374,22.0,189.5
2016Q2,25.262259527472523,28.553679296703297,19.196233333333335,197.1
2016Q3,25.376012630434783,28.346334815217393,15.717733333333333,197.5666666666667
2016Q4,25.889607076086953,27.95796031521739,14.290333333333335,208.4
2017Q1,27.061055488888886,28.80885858888889,14.0,215.9
2017Q2,26.462692758241754,29.064048043956046,12.945500000000001,224.26666666666665
2017Q3,25.902178250000002,30.377727771739128,12.5,229.4333333333333
2017Q4,26.961676902173913,31.764262249999998,13.403233333333333,237.4
2018Q1,27.32034352222222,33.5632985,15.919333333333334,245.66666666666666
2018Q2,26.178412450549448,31.267784593406596,17.0,250.19999999999996
2018Q3,27.348997630434784,31.813137086956523,17.568833333333334,249.96666666666667
2018Q4,27.95018585869565,31.91373841304348,18.0,260.5
2019Q1,27.305811266666666,31.0292602,18.0,267.43333333333334
2019Q2,26.561455571428574,29.83274667032967,17.6389,273.0
2019Q3,25.261308913043482,28.100943108695652,16.957866666666664,271.2
2019Q4,23.241033673913044,25.717066413043476,15.349466666666666,274.06666666666666
2020Q1,25.052529670329672,27.615378021978024,11.602166666666667,274.5
2020Q2,26.91433076923077,29.602817582417583,8.088866666666666,278.6333333333333
2020Q3,27.599603260869568,32.24289456521739,6.0,277.7
2020Q4,28.26781956521739,33.69649021739131,6.0,284.5333333333333
2021Q1,27.969396666666665,33.75689111111111,6.145166666666667,294.8
2021Q2,27.59104065934066,33.23316813186813,7.333333333333333,304.0
2021Q3,26.911033695652172,31.738759782608696,7.9984,306.8333333333333
2021Q4,26.680642391304346,30.51671413043478,8.618266666666665,314.1666666666667
2022Q1,28.554487777777776,32.278843333333334,9.784933333333333,328.6666666666667
2022Q2,29.254899999999996,31.198413186813188,14.666666666666666,360.7
2022Q3,34.97866521739131,35.18434673913043,25.0,379.0333333333333
2022Q4,36.5686,37.25223369565217,25.0,397.59999999999997
2023Q1,36.5686,39.22329777777777,25.0,407.5
2023Q2,36.5686,39.820536263736265,25.0,415.8
2023Q3,36.5686,39.83642282608695,22.5154,413.0
2023Q4,36.59415,39.36276847826087,16.935466666666667,418.06666666666666
2024Q1,38.17270879120879,41.466826373626375,14.9086,423.9666666666667
2024Q2,39.847840659340655,42.90793296703297,13.683333333333332,431.4666666666667
2024Q3,41.141161956521735,45.16889239130435,13.0,442.59999999999997
2024Q4,41.44930869565218,44.26375652173913,13.102166666666667,463.90000000000003
