,year_quarter,gdp_s21,gdp_2,gdp_per_capita,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,economic_freedom,usd_avg_q,eur_avg_q,interest_rate_avg_q,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,cash_demand,deflated_M1,unemployment_rate,employment_rate,lfp_rate,electricity_consumptions,electricity,tax_burden_s,log_deflated_tax_revenue,dlog_deflated_tax_revenue,log_gdp_s21,dlog_gdp_s21,log_gdp_per_capita,dlog_gdp_per_capita,log_usd_avg_q,dlog_usd_avg_q,log_eur_avg_q,dlog_eur_avg_q,d_schooling,d_rule_of_law,d_government_effectiveness,d_corruption_perceptions,d_fiscal_freedom,d_business_freedom,d_economic_freedom,d_tax_burden,d_direct_tax_share,d_gov_expenditure_share,d_unemployment_rate,d_employment_rate,d_lfp_rate,d_cash_demand,d_interest_rate_avg_q,sdiff_deflated_M1,sdiff_tax_burden,sdiff_gdp_2
12,2013Q1,1444395000000.0,303753000000.0,31708.010449366673,83.29292780609094,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.548974966666668,7.5,28.85347634426656,55.92966033912461,36.90590710215208,18431187663.277702,0.25643590314843756,69363409078.92639,10.533515731874147,92.20246238030097,73.1,0.011125769449533147,33794858.47604042,0.2684816123937068,23.63731004840089,-0.32236446621878656,27.99871166469875,-0.0004007795527307678,10.364324623506842,0.0013670245103742928,2.078566158643882,0.0,2.356028695644118,0.016872415414436848,-0.5869721830688519,-1.0,-0.8000000000000043,-1.0,0.0,2.0,0.0,3.290771818528949,4.473682158424253,-4.413341587960282,-0.5623746790847566,0.28465416112290143,0.09999999999999432,-0.006461185061253871,0.0,8898303410.403488,0.2684816123937068,11429000000.0
13,2013Q2,1431923000000.0,354814000000.0,31434.21948060501,82.7059556230221,35.6,35.199999999999996,25,78.0,48.0,46.0,7.993,10.435608142857143,7.383333333333333,24.39458420468189,52.36773211145693,35.8027022609029,21447429572.400196,0.26110651585581823,87284101001.27774,10.533515731874147,92.20246238030097,73.1,0.009684631315294033,34362427.75504737,-2.3803756947415273,23.7888706416853,0.15156059328440818,27.99003941207157,-0.008672252627178523,10.355652370879666,-0.008672252627176746,2.078566158643882,0.0,2.345223817973995,-0.010804877670123059,-0.5869721830688377,0.0,0.0,0.0,0.0,0.0,0.0,-4.45889213958467,-3.5619282276676785,-1.1032048412491804,0.0,0.0,0.0,0.0046706127073806725,-0.11666666666666714,12876744054.992477,-2.3803756947415273,8809000000.0
14,2013Q3,1408739000000.0,398000000000.0,30925.273856826116,82.11898343995325,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.583157782608696,6.731166666666667,22.15535175879397,52.855861362716226,30.12844221105528,24912324710.25506,0.26367588661318947,104575701976.44844,10.533515731874147,92.20246238030097,73.1,0.008769889932257375,34904161.93038435,-0.4279516518733111,23.938628486244014,0.14975784455871377,27.973716093929184,-0.016323318142386967,10.339329052737279,-0.016323318142386967,2.078566158643882,0.0,2.3592638490629727,0.014040031088977667,-0.5869721830688519,0.0,0.0,0.0,0.0,0.0,0.0,-2.2392324458879216,0.48812925125929496,-5.674260049847618,0.0,0.0,0.0,0.0025693707573712365,-0.6521666666666661,19258198880.787582,-0.4279516518733111,10891000000.0
15,2013Q4,1513061000000.0,408631000000.0,33215.397449125194,81.5320112568844,35.6,35.199999999999996,25,78.0,48.0,46.0,7.992999999999999,10.875501782608696,6.5,22.414134023116212,52.491563044881,35.92404883623612,24735924582.08889,0.25971757753596425,100411693760.45532,10.533515731874147,92.20246238030097,73.1,0.008442382452268147,34498191.83852785,-3.1485705026214,23.931522460433808,-0.007106025810205807,28.045155867172543,0.07143977324335893,10.41076882598064,0.0714397732433607,2.078566158643882,0.0,2.3865127168398232,0.02724886777685054,-0.5869721830688519,0.0,0.0,0.0,0.0,0.0,0.0,0.2587822643222424,-0.36429831783522815,5.795606625180838,0.0,0.0,0.0,-0.003958309077225219,-0.23116666666666674,21133442817.501816,-3.1485705026214,29400000000.0
16,2014Q1,1441447000000.0,316905000000.0,31731.621839379037,82.09506280799442,35.4,39.6,26,79.0,60.0,49.0,8.862673333333333,12.147707166666668,6.5,26.354806645524686,57.42597255497805,35.22894873858096,18361972745.78947,0.27215665203645495,85381416672.45863,13.585434173669467,90.3361344537815,71.4,0.010597437753479324,33583810.11266365,-2.4986696987418746,23.633547664394378,-0.2979747960394299,27.996668586092607,-0.04848728107993594,10.365068997023863,-0.045699828956776045,2.181848449729989,0.10328229108610687,2.497140441416065,0.1106277245762417,0.5630515511100214,-0.20000000000000284,4.400000000000006,1.0,1.0,12.0,3.0,3.9406726224084743,4.934409510097055,-0.6951000976551569,3.051918441795321,-1.8663279265194745,-1.6999999999999886,0.012439074500490699,0.0,16018007593.532242,-2.4986696987418746,13152000000.0
17,2014Q2,1383366000000.0,382391000000.0,30453.042517313796,82.65811435910445,35.4,39.6,26,79.0,60.0,49.0,11.696175450549449,16.042706483516483,9.033333333333331,23.65440086194497,47.28027921899167,34.67633913978101,25002888208.398933,0.30205104709468905,117390787729.9393,13.585434173669467,90.3361344537815,71.4,0.008601311791185114,32890642.171430673,-0.7401833427369198,23.942257183477686,0.30870951908330824,27.95554077568206,-0.04112781041054703,10.323941186613316,-0.04112781041054703,2.459261903796881,0.2774134540668922,2.7752543215908063,0.27811388017474137,0.5630515511100214,0.0,0.0,0.0,0.0,0.0,0.0,-2.700405783579715,-10.14569333598638,-0.552609598799954,0.0,0.0,0.0,0.029894395058234102,2.5333333333333314,30106686728.66156,-0.7401833427369198,27577000000.0
18,2014Q3,1324191000000.0,440476000000.0,29150.380177078427,83.22116591021448,35.4,39.6,26,79.0,60.0,49.0,12.577152673913044,16.67308975,11.983866666666666,19.756104759396653,50.06923624094901,27.204002034163043,28946441977.328045,0.28649440252365527,147242107425.4557,13.585434173669467,90.3361344537815,71.4,0.006901091655859396,30397652.482063234,-2.3992469993973167,24.08871313107476,0.14645594759707237,27.911822822857648,-0.043717952824412265,10.280223233788906,-0.04371795282441049,2.5318818881273057,0.07261998433042471,2.813796027518311,0.03854170592750483,0.5630515511100356,0.0,0.0,0.0,0.0,0.0,0.0,-3.8982961025483185,2.788957021957337,-7.472337105617964,0.0,0.0,0.0,-0.015556644571033784,2.9505333333333343,42666405449.00725,-2.3992469993973167,42476000000.0
19,2014Q4,1269188000000.0,447143000000.0,27939.55910906041,83.7842174613245,35.4,39.6,26,79.0,60.0,49.0,14.433596282608695,18.025858836956523,13.3,23.822132964174774,46.08492381640834,35.571864034548234,37527320788.56718,0.2914302382079527,153445381118.0635,13.585434173669467,90.3361344537815,71.4,0.007052492208050319,31534725.233842436,1.4079989410585618,24.34833505901767,0.25962192794291283,27.869398441836093,-0.042424381021554325,10.237798852767352,-0.042424381021554325,2.669558564368983,0.13767667624167723,2.8918073290238104,0.07801130150549929,0.5630515511100214,0.0,0.0,0.0,0.0,0.0,0.0,4.066028204778121,-3.9843124245406685,8.367862000385191,0.0,0.0,0.0,0.0049358356842974516,1.316133333333335,53033687357.608185,1.4079989410585618,38512000000.0
20,2015Q1,1239000000000.0,375991000000.0,28861.67593392796,82.0543270079166,36.0,39.0,27,79.0,59.0,47.0,21.11566568888889,23.78934436666667,20.5006,29.955796814285446,49.69178139963118,33.518967209321495,34179402679.66102,0.2500603709374163,135771053527.8757,13.286713286713287,90.4895104895105,71.5,0.008281567059457944,31137946.80252652,3.6009901687607595,24.254889038754442,-0.09344602026322946,27.845325718575552,-0.02407272326054155,10.270269901810472,0.032471049043120814,3.0500152147129533,0.38045665034397036,3.169237764736562,0.2774304357127515,-1.7298904534079043,0.6000000000000014,-0.6000000000000014,1.0,0.0,-1.0,-2.0,6.133663850110672,3.6068575832228404,-2.052896825226739,-0.2987208869561808,0.15337603572899638,0.09999999999999432,-0.04136986727053643,7.200599999999998,50389636855.41707,3.6009901687607595,59086000000.0
21,2015Q2,1212057000000.0,456715000000.0,28234.056777602036,80.32443655450871,36.0,39.0,27,79.0,59.0,47.0,21.611451373626373,23.87087540659341,30.0,26.07440088457791,50.17579776581067,34.85900397403194,44872663146.6177,0.2941584186766745,168008980026.09573,13.286713286713287,90.4895104895105,71.5,0.0067246025743692445,30712268.647530492,2.4200000226329372,24.527094607671735,0.2722055689172933,27.82334003217278,-0.021985686402771876,10.248284215407697,-0.02198568640277543,3.0732233303933842,0.023208115680430907,3.17265911360342,0.003421348866857965,-1.72989045340789,0.0,0.0,0.0,0.0,0.0,0.0,-3.881395929707537,0.48401636617948895,1.3400367647104474,0.0,0.0,0.0,0.04409804773925824,9.499400000000001,50618192296.15643,2.4200000226329372,74324000000.0
