,year_quarter,tax_revenue,total_expense,indirect_tax,employment,employed_people_thousands,unemployment,unemployed_people_thousands,lfp_rate,labour_force_people_thousands,informal_employed_15_70_thousands,Population,M0,M1,M2,schooling,rule_of_law,government_effectiveness,corruption_perceptions,fiscal_freedom,business_freedom,Financial freedom index (0-100),economic_freedom,electricity,log_electricity,dlog_electricity,usd_avg_q,eur_avg_q,interest_rate_avg_q,cpi_base_2010,nominal_gdp,gdp_s21,gdp_2,2021_deflator,tax_burden,direct_tax_share,gov_expenditure_share,deflated_tax_revenue,gdp_per_capita,cash_demand,deflated_M1,unemployment_rate,employment_rate,electricity_consumptions
30,2017Q3,208796900000.0,255805900000.0,107028400000.0,74.2,2440.1,10.1,274.5,82.6,2714.6,3695.6,42584500.0,308840385600.0,537610409300.00006,1104321381500.0,79.40922788814028,38.4,40.400000000000006,30,79.0,62.0,30.0,48.0,22305661.780536976,16.920351095709254,0.0152552746521479,25.90217825,30.377727771739128,12.5,229.4333333333333,833640000000.0,1285293000000.0,833640000000.0,154.17842234057866,25.046410920781152,48.74042670173743,30.685415766997743,135425500423.63882,30182.178961828835,0.2796653137155617,348693676546.011,12.227602905569007,89.83050847457628,0.0026756947579934954
31,2017Q4,232623900000.0,357314900000.0001,125548100000.0,74.6,2451.5,9.8,267.2,82.7,2718.7,3695.6,42584500.0,310143277500.0,551462856000.0,1129463617900.0,80.1990246943391,38.4,40.400000000000006,30,79.0,62.0,30.0,48.0,23231801.342527512,16.96103264554253,0.0406815498332768,26.961676902173913,31.76426225,13.403233333333333,237.4,891515000000.0,1298154000000.0,891515000000.0,145.61213215705848,26.093099947841598,46.02957821616781,40.07951632894569,159755850391.01678,30484.1902570184,0.2745934199072708,378720404564.35834,11.850060459492141,90.2055622732769,0.002605878907536891
32,2018Q1,223062000000.0,251947200000.0,110653400000.0,74.4,2457.7,9.5,256.8,82.1,2714.5,3541.3,42386400.0,321228414500.0,584899898200.0,1170035586200.0,80.52293642601548,39.6,42.800000000000004,32,80.0,63.0,30.0,52.0,23436961.653655075,16.969824891987052,0.0087922464445213,27.32034352222222,33.5632985,15.919333333333334,245.66666666666663,706141000000.0,1306924000000.0,706141000000.0,185.0797503614717,31.588875309605307,50.393433215877195,35.679446456161024,120522099021.82532,30833.569258063908,0.27454584996279835,316025873742.34937,11.571254567600487,90.62119366626067,0.0033190200899898287
33,2018Q2,233601500000.0,305006800000.0,119863700000.0,75.2,2488.8,9.6,264.7,83.2,2753.5,3541.3,42386400.0,332886410800.0,619489323600.0,1196072926700.0,80.84684815769185,39.6,42.800000000000004,32,80.0,63.0,30.0,52.0,22516955.35342217,16.929779154645594,-0.0400457373414582,26.178412450549448,31.267784593406596,17.0,250.19999999999996,809938000000.0,1319063000000.0,809938000000.0,162.8597497586235,28.841899009553817,48.68881407011513,37.658042961313086,143437221502.6879,31119.958288507634,0.2783161489311887,380382092271.51154,11.538461538461538,90.38461538461539,0.0027800838278265955
34,2018Q3,252256300000.0,284640300000.0,131866100000.0,75.8,2508.9,8.9,245.4,83.3,2754.3,3541.3,42386400.0,343836800700.0,621514881300.0,1231230125100.0,81.17075988936823,39.6,42.800000000000004,32,80.0,63.0,30.0,52.0,22069295.790167503,16.9096978697115,-0.0200812849340934,27.348997630434784,31.813137086956523,17.568833333333334,249.96666666666667,994728000000.0,1333457000000.0,994728000000.0,134.05242438133843,25.359324358015456,47.725349178593355,28.614887687890562,188177350140.57446,31459.548345695788,0.2792628231640074,463635688924.192,10.684273709483794,90.99639855942378,0.0022186261762177704
35,2018Q4,277428700000.0,408595200000.0,144774800000.0,75.9,2510.1,8.9,244.6,83.3,2754.7,3541.3,42386400.0,351510723000.0,624230880900.0,1224887121500.0,81.4946716210446,39.6,42.800000000000004,32,80.0,63.0,30.0,52.0,22797159.40275526,16.942146498564536,0.0324486288530359,27.95018585869565,31.91373841304348,18.0,260.5,1049495000000.0,1345567000000.0,1049495000000.0,128.2109014335466,26.434494685539235,47.815492773458544,38.932553275623036,216384641943.87943,31745.253194420853,0.28697397240126016,486878162403.02075,10.684273709483794,91.11644657863145,0.002172202764449117
36,2019Q1,246503400000.0,284311100000.0,114392500000.0,66.3,15570.9,9.6,1645.1,73.3,17216.0,3460.4,42153200.0,343073852100.0,654945215600.0,1251737586100.0,82.24134276857095,38.2,42.6,30,82.0,66.0,30.0,52.0,22731867.41594408,16.93927834889684,-0.0028681496676981,27.305811266666662,31.0292602,18.0,267.43333333333334,820006000000.0,1362369000000.0,820006000000.0,166.14134530722947,30.06117028411987,53.59394637153078,34.671831669524366,148369690605.40863,32319.46803564142,0.2740780942504927,394209649854.9905,13.096862210095498,90.45020463847203,0.00277215866907609
37,2019Q2,257945000000.0,337998600000.0,123819400000.0,67.2,15781.2,8.8,1527.5,73.7,17308.7,3460.4,42153200.0,349283391800.0,654680919600.0,1256448331600.0,82.9880139160973,38.2,42.6,30,82.0,66.0,30.0,52.0,22729400.63369185,16.939169826527774,-0.0001085223690644,26.561455571428574,29.83274667032967,17.6389,273.0,932459000000.0,1376313000000.0,932459000000.0,147.60037706751717,27.662878475085765,51.997751458644295,36.24809240942497,174759038645.27908,32650.261427364945,0.2779926424473116,443549625418.9973,11.940298507462687,91.18046132971506,0.002437576411798465
38,2019Q3,270351800000.0,317168800000.0,134458000000.0,67.8,15924.0,8.4,1461.1,74.0,17385.1,3460.4,42153200.0,354980451300.0,673324444900.0,1300078202500.0,83.73468506362366,38.2,42.6,30,82.0,66.0,30.0,52.0,22058447.500003107,16.909206193066648,-0.0299636334611257,25.26130891304348,28.100943108695652,16.957866666666664,271.2,1111962000000.0,1367118000000.0,1111962000000.0,122.94646759511565,24.313043071615756,50.2655428963299,28.523348819474048,219893914228.03302,32432.12852167807,0.27304546035568195,547656600527.45544,11.351351351351353,91.62162162162161,0.0019837411260459534
39,2019Q4,295521600000.0,432872100000.0,143096700000.0,67.6,15894.9,8.6,1486.9,74.0,17381.8,3460.4,42153200.0,359336239500.0,697533487700.0,1328999596600.0,84.48135621115,38.2,42.6,30,82.0,66.0,30.0,52.0,21275479.650360968,16.87306577742743,-0.0361404156392168,23.241033673913044,25.717066413043476,15.349466666666666,274.06666666666666,1112771000000.0,1368945000000.0,1112771000000.0,123.0212685269476,26.557270094206263,51.57826026930012,38.9003757286989,240219925821.41724,32475.470426918953,0.27038099967772405,567002353375.3486,11.621621621621621,91.35135135135134,0.0019119369259587972
40,2020Q1,255239900000.0,298688100000.0,115289200000.0,67.9,15781.3,8.9,1548.6,74.6,17329.9,3404.1,41902400.0,374268039400.0,769790224800.0,1473898889200.0,83.89466696288078,38.6,42.400000000000006,33,81.0,61.0,30.0,55.0,21527387.77900467,16.88483653262537,0.01177075519794,25.052529670329672,27.615378021978024,11.602166666666667,274.5,858415000000.0,1380661000000.0,858415000000.0,160.838405666257,29.7338583319257,54.83104326557093,34.79530297117361,158693378576.27615,32949.449196227426,0.2539306068702884,478610952161.09674,11.930294906166221,91.01876675603219,0.002507806571297644
41,2020Q2,234792500000.0,357147400000.0,115413500000.0,66.1,15362.0,9.6,1630.1,73.1,16992.1,3291.6,41902400.0,434893689100.0,838015268500.0,1575518920100.0,83.30797771461155,38.6,42.400000000000006,33,81.0,61.0,30.0,55.0,19684642.203817155,16.795349306112346,-0.0894872265130253,26.91433076923077,29.602817582417583,8.088866666666666,278.6333333333333,879921000000.0,1252647000000.0,879921000000.0,142.35902995837125,26.683361347211854,50.844469052461214,40.58857556530643,164929825715.0658,29894.397456947572,0.2760320320827355,588663233196.4141,13.132694938440492,90.42407660738714,0.002237091989373723
42,2020Q3,288394900000.0,376368500000.0,152634400000.0,65.9,15306.8,9.7,1643.0,73.0,16949.8,3275.5,41902400.0,470419689400.0,908803252800.0,1672120765900.0,82.72128846634233,38.6,42.400000000000006,33,81.0,61.0,30.0,55.0,21452385.684424296,16.881346417872816,0.08599711176047,27.599603260869568,32.24289456521739,6.0,277.7,1173113000000.0,1305082000000.0,1173113000000.0,111.24947042612263,24.583727228323273,47.07451484058838,32.08288545093269,259232604789.35422,31145.75776089198,0.2813311687728499,816905688916.073,13.287671232876711,90.27397260273973,0.0018286717208337384
43,2020Q4,358259900000.0,563191900000.0,171113300000.0,65.6,15244.5,9.9,1673.3,72.8,16917.8,3237.8,41902400.0,493079894700.0,971282356900.0,1764510899000.0,82.1345992180731,38.6,42.400000000000006,33,81.0,61.0,30.0,55.0,21224135.632753868,16.870649565316132,-0.0106968525566841,28.26781956521739,33.69649021739131,6.0,284.5333333333333,1310577000000.0,1330899000000.0,1310577000000.0,101.5506147292376,27.336043589960756,52.237663216006034,42.97282036843314,352789494140.6522,31761.87998778113,0.2794428161251046,956451479382.6813,13.5989010989011,90.1098901098901,0.0016194497257890125
