year_quarter,eta_z_change,eta_level,KIIS_2017_18_q,KIIS_2017_18_4qma,NBU_2018_q,NBU_2018_4qma,HS_2010_q,HS_2010_4qma,HS_2011_q,HS_2011_4qma,HS_2012_q,HS_2012_4qma,HS_2013_q,HS_2013_4qma
2010Q2,-0.012171488056089683,-0.012171488056089683,40.748244252637555,40.748244252637555,25.096531122055058,25.096531122055058,59.38684126076829,59.38684126076829,58.1457538854398,58.1457538854398,60.74720561917796,60.74720561917796,56.790415811500495,56.790415811500495
2010Q3,-0.019633237214326762,-0.031804725270416445,40.572856896343275,40.660550574490415,24.921143765760778,25.008837443907918,59.21145390447401,59.29914758262115,57.97036652914552,58.05806020729266,60.57181826288368,60.65951194103082,56.615028455206215,56.702722133353355
2010Q4,0.07390990667245827,0.04210518140204182,41.23310782662696,40.851402991869264,25.581394696044462,25.199689861286767,59.8717048347577,59.49,58.63061745942921,58.24891262467151,61.23206919316736,60.85036435840967,57.275279385489895,56.893574550732204
2011Q1,-0.6321603189254286,-0.5900551375233868,35.58590222929559,39.535027801225844,19.93418909871309,23.883314670643347,54.22449923742633,58.17362480935658,52.98341186209784,56.93253743402809,55.584863595836,59.53398916776625,51.62807378815853,55.577199360088784
2011Q2,0.13654953813777243,-0.45350559938561436,36.805724627188944,38.54939789486369,21.154011496606444,22.897684764281195,55.44432163531968,57.18799490299443,54.20323425999119,55.94690752766594,56.80468599372935,58.548359261404094,52.84789618605188,54.59156945372663
2011Q3,-0.1789798344666383,-0.6324854338522526,35.206864507769346,37.20789979772021,19.555151377186846,21.556186667137712,53.845461515900084,55.846496805850954,52.60437414057159,54.605409430522464,55.20582587430975,57.206861164260616,51.24903606663228,53.25007135658314
2011Q4,0.22439985432286538,-0.4080855795293873,37.21147010453714,36.202490367197754,21.55975697395464,20.550777236615254,55.85006711266788,54.8410873753285,54.60897973733939,53.6,57.21043147107755,56.20145173373816,53.253641663400074,52.24466192606069
2012Q1,-0.2943885198841345,-0.7024740994135218,34.58164275297904,35.951425498118624,18.929929622396543,20.299712367536117,53.22023976110978,54.590022506249355,51.97915238578129,53.348935130920864,54.58060411951945,55.95038686465902,50.62381431184198,51.99359705698156
2012Q2,-0.0868450996637938,-0.7893191990773156,33.80583934007924,35.201454176341194,18.154126209496738,19.549741045758694,52.444436348209976,53.84005118447193,51.203348972881486,52.59896380914344,53.804800706619645,55.2004155428816,49.84801089894218,51.24362573520413
2012Q3,-0.009404088048787798,-0.7987232871261034,33.72183087406672,34.830195767915534,18.070117743484218,19.178482637333033,52.360427882197456,53.46879277604627,51.119340506868966,52.22770540071778,53.720792240607125,54.82915713445594,49.76400243292965,50.87236732677847
2012Q4,0.1268316494706531,-0.6718916376554503,34.85484156671339,34.241038633459596,19.20312843613089,18.589325502877095,53.49343857484413,52.87963564159033,52.25235119951564,51.63854826626184,54.853802933253796,54.24000000000001,50.89701312557633,50.28321019232254
2013Q1,0.37423819791484747,-0.2976534397406029,38.197980929829974,35.14512317767233,22.546267799247474,19.49341004708983,56.836577937960705,53.78372018580307,55.59549056263222,52.54263281047457,58.19694229637037,55.14408454421274,54.24015248869291,51.187294736535264
