year_quarter,eta_z_change,eta_level,shadow_pct_gdp,shadow_pct_gdp_4q_avg
2010Q2,-0.012171488056089683,-0.012171488056089683,41.61406191070351,41.61406191070351
2010Q3,-0.019633237214326762,-0.031804725270416445,41.43867455440923,41.52636823255637
2010Q4,0.07390990667245827,0.04210518140204182,42.09892548469292,41.71722064993522
2011Q1,-0.6321603189254286,-0.5900551375233868,36.45171988736155,40.4008454592918
2011Q2,0.13654953813777243,-0.45350559938561436,37.6715422852549,39.41521555292965
2011Q3,-0.1789798344666383,-0.6324854338522526,36.0726821658353,38.073717455786166
2011Q4,0.22439985432286538,-0.4080855795293873,38.0772877626031,37.06830802526371
2012Q1,-0.2943885198841345,-0.7024740994135218,35.447460411045,36.817243156184574
2012Q2,-0.0868450996637938,-0.7893191990773156,34.671656998145195,36.06727183440715
2012Q3,-0.009404088048787798,-0.7987232871261034,34.587648532132675,35.69601342598149
2012Q4,0.1268316494706531,-0.6718916376554503,35.72065922477935,35.10685629152555
2013Q1,0.37423819791484747,-0.2976534397406029,39.063798587895924,36.01094083573828
2013Q2,-0.14237977450995398,-0.44003321425055686,37.79189360511222,36.79099998748004
2013Q3,0.04987312770160779,-0.39016008654894907,38.2374195223221,37.703442735027394
2013Q4,0.009409091095641475,-0.3807509954533076,38.321472681481836,38.35364609920302
2014Q1,1.669721563732827,1.2889705682795194,53.23740567886634,41.897047871945624
2014Q2,-0.4549056969541057,0.8340648713254137,49.173648557153996,44.74248660995607
2014Q3,0.1590915323062878,0.9931564036317015,50.594842777720174,47.83184242380559
2014Q4,-0.1624300054312807,0.8307263982004208,49.143825356371565,50.53743059252802
2015Q1,-0.5376869455293574,0.29303945267106346,44.34056795868036,48.313221162481526
2015Q2,0.04967789242478282,0.3427173450958463,44.78434980288364,47.215896473913936
2015Q3,-0.018384990538988538,0.3243323545568577,44.62011326609002,45.7222140960064
2015Q4,0.2457689138111235,0.5701012683679813,46.81561264207656,45.140160917432645
2016Q1,-0.8795366924027431,-0.3094354240347619,38.95854793286155,43.79465591097794
2016Q2,-0.23376299833854336,-0.5431984223733053,36.870299630737236,41.816143367941336
2016Q3,0.2582155947531236,-0.2849828276201817,39.17698752042761,40.45536193152574
2016Q4,0.07912198065759696,-0.20586084696258472,39.88379887613093,38.72240849003933
2017Q1,-0.25911896753970676,-0.4649798145022915,37.569040989472796,38.37503175419214
2017Q2,0.09986093083725933,-0.36511888366503215,38.46111724085392,38.772736156721315
2017Q3,0.04561805756557244,-0.31950082609945973,38.868631825859175,38.69564723307921
2017Q4,-0.10197971814453893,-0.42148054424399867,37.957628053747925,38.21410452748346
2018Q1,0.306604865292857,-0.11487567895114165,40.69658628889002,38.99599085233776
2018Q2,-0.05421483780025363,-0.16909051675139528,40.212275068590024,39.43378030927178
2018Q3,-0.019032854061619586,-0.18812337081301486,40.0422510465624,39.72718511444759
2018Q4,0.030981075458287065,-0.1571422953547278,40.319010750551385,40.317530788648455
2019Q1,1.1717781722828726,1.014635876928145,50.78672290400459,42.8400649424271
2019Q2,-0.049068028514496015,0.965567848413649,50.34838908743714,45.37409344713888
2019Q3,-0.0555244847447989,0.9100433636688501,49.85237854762223,47.826625322403835
2019Q4,0.08901564860481895,0.999059012273669,50.647571877544785,50.40876560415219
2020Q1,-1.3394966397685553,-0.34043762749488626,38.68159948850613,47.38248475027757
2020Q2,-0.16253737067704604,-0.5029749981719323,37.229622953466425,44.10279321678489
2020Q3,-0.15225459712838607,-0.6552295953003183,35.86950434528741,40.607074666201186
2020Q4,0.27179244593116636,-0.38343714936915196,38.29747676940903,37.51955088916725
2021Q1,0.243988471678526,-0.13944867769062597,40.47707112498236,37.96841879828631
2021Q2,0.0760756664537492,-0.06337301123687676,41.156669189834965,38.95018035737844
2021Q3,-0.07223785318308637,-0.13561086441996312,40.511355024073715,40.110643027075014
2021Q4,0.13561086441996156,-1.5543122344752192e-15,41.72279207522101,40.96697185352801
