n_causes,n_indicators,n_sig_causes,n_sig_inds,correct_g,correct_l,mean_abs_z,chi2,df,pvalue,cfi,tli,rmsea,aic,bic,score,causes_str,indicators_str
4,2,1,1,3,1,1.8212796619680982,1.8616732753312029,3,0.6016069651389206,1.0,1.1093020277594237,0.0,693.9194513870091,708.1929684583552,5.30712796619681,d_tax_burden|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,sdiff_gdp_2|d_lfp_rate
4,2,2,1,2,1,3.5410755598350976,7.2902148010890855,3,0.06320095212798837,0.9427140524520338,0.7135702622601687,0.1802820769820947,676.5293022785625,690.8028193499085,5.30410755598351,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,1.1986054261138726,2.533162403902523,2,0.28179337145614225,0.9770979667580573,0.8854898337902865,0.07783741825568528,602.528288953977,615.0176163914049,5.286527209278053,d_tax_burden|d_direct_tax_share|d_unemployment_rate,sdiff_gdp_2|d_lfp_rate
3,2,1,1,2,1,3.998347609838586,4.172421680536999,2,0.12415669518771044,0.9705245591521581,0.8526227957607906,0.1571197314346682,553.7449108196067,566.2342382570346,5.266501427650525,dlog_gdp_per_capita|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,2,1,2,1,2.14703164321408,5.272234655065983,2,0.07163888058049117,0.8899987149919104,0.44999357495955206,0.19283278952672675,598.8002549864009,611.2895824238287,5.248036497654741,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,3,1,2,2,2,3.711341402617206,12.193073556575975,6,0.05779759827524256,0.9169343764008788,0.7923359410021968,0.15316204476542866,683.766989921785,699.8246966270493,5.237800806928387,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,sdiff_gdp_2|d_employment_rate|dlog_deflated_tax_revenue
3,3,1,2,3,2,5.147426140914869,126.0169666404468,6,0.0,0.42978740863999854,-0.42553147840000355,0.6742475228897059,661.6696987904155,677.7274054956798,5.181409280758153,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,0,1,3,1,1.354406269638017,0.8711382530334078,2,0.6468963963989198,1.0,5.290824295137114,0.0,622.8309619243854,635.3202893618133,5.135440626963802,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,sdiff_deflated_M1|d_employment_rate
3,2,2,1,2,0,2.7980799673034356,2.8722143515337137,2,0.23785187434553823,0.9744057361733581,0.8720286808667908,0.09955665081738145,592.0689658986624,604.5582933360903,5.1131413300636765,d_tax_burden|d_unemployment_rate|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,2,0,3,1,2.731368505197936,1.2445441078490695,2,0.5367235862692712,1.0,1.1416030466790599,0.0,597.8446762466114,610.3340036840392,5.106470183853126,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_lfp_rate|sdiff_deflated_M1
4,2,1,1,3,1,2.8048188934175067,5.887518454065912,3,0.1172127963087416,0.9610025495988076,0.805012747994038,0.14790246719892686,675.9740558930926,690.2475729644386,5.105481889341751,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_corruption_perceptions,sdiff_gdp_2|d_employment_rate
3,3,2,2,2,2,2.69224434531101,16.453863166014926,6,0.011514499314153714,0.8702780636604737,0.675695159151184,0.19899237809005482,681.997472812475,698.0551795177394,5.102557767864434,dlog_gdp_per_capita|d_unemployment_rate|d_corruption_perceptions,sdiff_gdp_2|d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,3,1,4.2490907713975545,101.99266250555955,2,0.0,0.45834873499576745,-1.7082563250211626,1.065964472083847,540.6608355462953,553.1501629837231,5.0915757438064215,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|d_lfp_rate
3,2,1,1,1,1,4.227059936925642,2.169308154071256,2,0.33801869410160723,0.997603101611358,0.98801550805679,0.043862926216387745,554.8082185140894,567.2975459515172,5.08937266035923,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,3,1,4.176080553541551,102.73651831462261,2,0.0,0.4499556779436543,-1.7502216102817287,1.0699220357886672,542.869231532848,555.3585589702758,5.0842747220208215,d_tax_burden|d_direct_tax_share|d_unemployment_rate,d_employment_rate|d_lfp_rate
5,2,2,1,3,1,1.7520679961440333,8.93247783540593,4,0.06280955161054724,0.9272989487516621,0.6183194809462261,0.1674080112976216,805.0718108691553,821.1295175744197,5.075206799614403,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
4,3,3,1,3,1,1.876714947892613,10.887005313956287,8,0.20818420526824544,0.9088346364656464,0.7606909207223218,0.09056334601769785,845.2045831573196,863.0464794965022,5.062671494789261,d_tax_burden|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_lfp_rate|d_employment_rate|sdiff_gdp_2
4,2,1,1,2,1,3.094468918056459,4.231619397484973,3,0.23751518888036682,0.9831736565404401,0.9158682827022004,0.09659425438889606,675.1660294882264,689.4395465595725,5.059446891805646,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,1.8744301046269776,3.3131969751499106,2,0.1907868414343462,0.9532838315431962,0.7664191577159807,0.12215847452973044,598.4783402752885,610.9676677127163,5.054109677129364,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,2,1,3,2,4.60394332913343,31.89053160508161,6,1.712520070329404e-05,0.7361440360403242,0.34036009010081025,0.31316161238854606,679.8971134214992,695.9548201267635,5.043727666246676,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,1,2,3,2,3.731620577404264,104.41899715659308,6,0.0,0.47440935709508136,-0.31397660726229665,0.6105728716981795,663.2952206252266,679.352927330491,5.0398287244070925,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,2,1,2,1,2.0523973390009753,6.86757872940489,2,0.03226444707594456,0.8543641137822737,0.27182056891136847,0.23518799852953445,596.7199045313345,609.2092319687623,5.038573067233431,dlog_gdp_per_capita|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
4,2,1,1,3,1,2.049524161271985,5.747223180629355,3,0.12457734694841804,0.9634308435364017,0.8171542176820085,0.14426467628269113,674.7534847528624,689.0270018242085,5.029952416127198,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_employment_rate
4,2,2,1,1,1,1.5213659017518495,2.0481382232660437,3,0.5624757878929985,1.0,1.1274724830681198,0.0,708.8424803163247,723.1159973876707,5.027136590175185,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,1,2,3,2,1.5702117954178647,11.083768153920861,6,0.08582172302448321,0.8584641213896969,0.6461603034742422,0.13876850346072964,721.2954982238457,737.35320492911,5.023687846208452,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_lfp_rate|dlog_deflated_tax_revenue
3,3,2,0,3,2,1.8795343124967452,6.488826535539026,6,0.37071192753297255,0.9189357904401488,0.7973394761003723,0.04303040395953253,746.5890238922653,762.6467305975297,5.0212867645830075,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
3,3,2,0,3,2,1.7384519399387521,3.10609028479551,6,0.7954184712470134,1.0,2.0047055191593968,0.0,742.0355126450867,758.093219350351,5.007178527327208,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
3,2,2,0,3,1,1.7356872653001758,1.9927804214729683,2,0.3692098081560593,1.0,1.0087837353182958,0.0,621.1584121083039,633.6477395457317,5.006902059863351,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|sdiff_deflated_M1
3,2,1,1,3,1,1.3395413989531395,3.6623655466098306,2,0.1602239470507334,0.8199230394877883,0.09961519743894144,0.13744277927600165,617.7062089693687,630.1955364067966,5.00062080656198,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share,sdiff_gdp_2|d_employment_rate
3,2,2,0,3,1,1.6703129170409508,2.1401248093428293,2,0.3429871127527673,0.986637762989818,0.9331888149490899,0.03990397698094499,614.9287573673661,627.4180848047939,5.000364625037428,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate
4,2,1,1,3,1,1.6584912691176164,7.002571863384279,3,0.07181584362624105,0.9417061818876707,0.7085309094383538,0.17413360995668692,682.4708550071434,696.7443720784895,4.990849126911762,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_unemployment_rate,sdiff_gdp_2|d_employment_rate
4,2,2,1,3,1,3.600861716542653,23.07453777582652,3,3.896381275891869e-05,0.7953577576671113,-0.0232112116644436,0.3899741422646499,669.109083234741,683.382600306087,4.985086171654265,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,1.1077242186968859,5.182467963064941,2,0.07492752383470846,0.9546630486947904,0.7733152434739516,0.1901694209677058,558.2618315868376,570.7511590242655,4.977439088536355,dlog_gdp_per_capita|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_employment_rate
4,2,2,1,3,1,1.505996742341107,6.9983591512281365,3,0.0719500903195488,0.8756154037900659,0.37807701895032925,0.17404194790485478,718.983540778091,733.257057849437,4.975599674234111,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|d_employment_rate
4,2,2,1,3,1,3.4633740727678655,21.951109629276566,3,6.677702428592447e-05,0.7894482596180067,-0.052758701909966725,0.37890501757433126,676.0745214576605,690.3480385290065,4.971337407276787,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue
4,2,2,1,3,1,3.4264607732579253,22.03492871887545,3,6.414856759995313e-05,0.8058417729431292,0.02920886471564614,0.37974202486165015,668.1270124785597,682.4005295499057,4.967646077325792,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,0.9885095668231175,3.247820007785119,2,0.19712642518073353,0.958837707872153,0.7941885393607648,0.11907885125302473,596.2084420574373,608.6977694948652,4.965517623348978,d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,3,1,2.3517762814430925,10.255488755677614,2,0.005929921061158194,0.7778620868026942,-0.11068956598652946,0.3062880543273101,596.3669503593003,608.8562777967281,4.901844294810975,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,dlog_deflated_tax_revenue|d_lfp_rate
3,3,1,2,3,2,2.3343658803100253,15.705088997725731,6,0.015427522965447582,0.743700134397755,0.3592503359943874,0.19173341062256496,723.9692523355181,740.0269590407825,4.900103254697669,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share,dlog_deflated_tax_revenue|d_employment_rate|sdiff_gdp_2
3,3,1,2,1,2,2.2286575164140725,8.483332939360942,6,0.20478701837926905,0.9288457493614283,0.8221143734035706,0.0969874433328665,719.7129486943697,735.770655399634,4.8895324183080735,d_tax_burden|d_direct_tax_share|d_government_effectiveness,dlog_deflated_tax_revenue|d_employment_rate|sdiff_gdp_2
3,2,1,1,3,1,2.21889268473975,6.207593771016789,2,0.044878480041536384,0.8577277377852474,0.2886386889262368,0.21866313264868462,599.9086161784932,612.397943615921,4.888555935140641,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share,dlog_deflated_tax_revenue|d_employment_rate
3,3,1,2,3,2,2.1523384660980818,111.4671104961867,6,0.0,0.44684377575664747,-0.38289056060838145,0.6320574583591066,666.9331843024163,682.9908910076806,4.881900513276475,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,sdiff_gdp_2|d_lfp_rate|d_employment_rate
3,2,1,1,1,1,2.023441206312898,1.8122734439393149,2,0.4040822947173076,1.0,1.021854934695426,0.0,582.1392116915382,594.628539128966,4.869010787297956,d_tax_burden|d_corruption_perceptions|d_government_effectiveness,dlog_deflated_tax_revenue|sdiff_gdp_2
3,3,2,1,3,2,2.8072758220203604,35.244894043623425,6,3.863336213050239e-06,0.5159300451655653,-0.21017488708608684,0.3328304580437372,720.9606039749324,737.0183106801967,4.864060915535369,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,dlog_deflated_tax_revenue|d_lfp_rate|sdiff_gdp_2
3,3,1,2,1,2,1.7169183742254963,6.575437004084833,6,0.36189891019451115,0.9919961277559194,0.9799903193897986,0.04668710337484494,680.8109235036346,696.8686302088989,4.838358504089216,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_employment_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,1.642263032405496,6.413457114716202,2,0.040488853808296366,0.9347992182500378,0.673996091250189,0.22394848014250657,561.9984692817948,574.4877967192226,4.830892969907215,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,sdiff_gdp_2|d_employment_rate
3,2,1,1,3,1,1.6125111364844955,102.24293185216882,2,0.0,0.45819456937597847,-1.7090271531201071,1.067297627465192,540.5017157136883,552.9910431511162,4.827917780315116,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_lfp_rate|d_employment_rate
4,2,1,1,4,1,3.1910664941329947,104.88141454638941,3,0.0,0.45268344677462413,-1.736582766126879,0.8785379320659453,662.8645808927117,677.1380979640578,4.8191066494133,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_unemployment_rate,d_employment_rate|d_lfp_rate
3,2,1,1,3,1,1.442273068270928,6.6886403614585035,2,0.035284193881044645,0.5164457819754661,-1.4177710901226692,0.23082461763746734,620.2676969239626,632.7570243613904,4.810893973493759,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,3,1,1,2,2,3.831131215081071,8.02165501804729,6,0.2365210941715833,0.9705150368956413,0.9262875922391034,0.08750876618528021,685.5863395271568,701.6440462324211,4.799779788174774,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_employment_rate|dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,2,0,3,1,2.5747859145857315,4.783050471081342,2,0.09149003355396568,0.9070619080625177,0.5353095403125885,0.17783580498599053,598.1131033203603,610.6024307577882,4.790811924791907,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_lfp_rate|sdiff_gdp_2
3,2,1,1,1,1,1.1147555859923517,2.002371390850918,2,0.3674435066947547,0.9999639343654864,0.999819671827432,0.005191110026370669,559.525541867453,572.0148693048808,4.778142225265901,d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_employment_rate
3,3,2,1,1,2,4.84366972724475,10.029425338426279,6,0.12341831158163341,0.946674721346056,0.8666868033651401,0.12354341247823053,680.5966010228836,696.654307728148,4.767700306057808,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue|sdiff_gdp_2
4,2,1,1,2,1,3.1209964147655214,7.11758145048158,3,0.06824299730014327,0.958015311719401,0.7900765585970049,0.176617662953864,653.1744864812085,667.4480035525546,4.762099641476552,dlog_gdp_per_capita|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
3,3,2,1,1,2,4.717232476600717,9.305627375915371,6,0.15710529388985595,0.9545968260179577,0.8864920650448942,0.11189868550551099,682.6298543982745,698.6875611035388,4.755056580993405,d_direct_tax_share|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue|sdiff_deflated_M1
3,2,1,1,1,1,3.8452510610202544,5.229906386094129,2,0.07317121353737666,0.9665382726354985,0.8326913631774928,0.19158152745022303,531.9797739336176,544.4691013710454,4.751191772768692,d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|dlog_deflated_tax_revenue
4,2,1,1,2,1,2.94229582448903,6.314548742619955,3,0.09727028107568769,0.9641400619047206,0.8207003095236026,0.1584620388204092,658.0144525258712,672.2879695972173,4.744229582448903,dlog_gdp_per_capita|d_unemployment_rate|d_corruption_perceptions|d_government_effectiveness,sdiff_gdp_2|d_employment_rate
3,3,2,1,3,2,1.546410427031083,17.264817745021563,6,0.008357723112366156,0.34759426629433976,-0.6310143342641501,0.20656660956139,746.1285474744793,762.1862541797436,4.7379743760364414,dlog_gdp_per_capita|d_direct_tax_share|d_corruption_perceptions,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,3,3,1,2,1,2.244228796533714,10.212193440275119,6,0.11599584005911823,0.8617434834773094,0.6543587086932735,0.12631420420071648,725.8759969054973,741.9337036107617,4.674422879653371,d_direct_tax_share|d_corruption_perceptions|d_government_effectiveness,d_employment_rate|d_lfp_rate|sdiff_gdp_2
3,3,1,1,2,2,2.4175712468151938,8.21107454735736,6,0.22304376918232616,0.9285683786331739,0.8214209465829346,0.09151656886243952,723.3876653022716,739.4453720075359,4.658423791348186,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate,d_lfp_rate|dlog_deflated_tax_revenue|sdiff_deflated_M1
4,3,2,0,4,2,1.5639794698684901,9.101533203391256,8,0.333803321545751,0.9007867335057389,0.7395651754525646,0.05594064436036138,863.9842175024927,881.8261138416754,4.656397946986849,dlog_gdp_per_capita|d_tax_burden|d_direct_tax_share|d_corruption_perceptions,d_lfp_rate|d_employment_rate|sdiff_deflated_M1
3,2,1,0,3,1,4.711011983486717,2.6677098830668413,2,0.26345967953984284,0.9895016258931936,0.9475081294659681,0.08710690160703538,562.341704585387,574.8310320228148,4.637767865015338,dlog_gdp_per_capita|d_tax_burden|d_unemployment_rate,d_employment_rate|sdiff_deflated_M1
3,3,1,2,2,2,4.640388382177734,128.19059368744476,6,0.0,0.4327131880121353,-0.4182170299696617,0.6803257733666921,658.9261693804274,674.9838760856917,4.630705504884439,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
3,2,1,1,2,1,4.524933649034973,22.94289899856228,2,1.0423481094368192e-05,0.7810808635308467,-0.09459568234576635,0.48783961362319267,550.553160475121,563.0424879125488,4.619160031570163,d_tax_burden|d_unemployment_rate|d_corruption_perceptions,d_employment_rate|dlog_deflated_tax_revenue
3,3,1,2,2,2,4.42550220836987,130.66442780786628,6,0.0,0.4269114788079389,-0.4327213029801529,0.6871781004197262,659.2638998330843,675.3216065383486,4.609216887503653,d_tax_burden|d_unemployment_rate|d_government_effectiveness,d_employment_rate|d_lfp_rate|dlog_deflated_tax_revenue
4,3,1,2,2,2,1.543674273722228,15.421960549196609,8,0.05144168937619076,0.9076040106124268,0.7574605278576203,0.14520714581790137,801.0795904051245,818.9214867443071,4.604367427372223,dlog_gdp_per_capita|d_direct_tax_share|d_unemployment_rate|d_government_effectiveness,sdiff_gdp_2|d_employment_rate|dlog_deflated_tax_revenue
